Seed,Pass/Fail,log2traces inner hash,log2traces outer hash,log2 hypotheses inner hash,log2 hypotheses outer hash,total time,inner time - 15,outer time - 15,inner time - 16,outer time - 16,inner time - 17,outer time - 17,inner time - 18,outer time - 18,inner time - 19,outer time - 19,inner time - 20,outer time - 20,inner time - 21,outer time - 21,inner time - 22,outer time - 22,inner time - 23,outer time - 23,inner time - 24,outer time - 24,inner time - 25,outer time - 25,inner time - 26,outer time - 26,inner time - 27,outer time - 27,inner time - 28,outer time - 28,inner time - 29,outer time - 29,inner time - 30,outer time - 30
238,Success,19,19,0,0,21.605,0.023,0.2,0.04,0.434,0.178,0.905,0.734,1.852,6.485,10.756,,,,,,,,,,,,,,,,,,,,,,
239,Success,19,19,1,2,31.887,0.009,0.194,0.016,0.425,0.197,0.955,0.416,1.95,11.327,16.396,,,,,,,,,,,,,,,,,,,,,,
240,Success,17,19,1,0,16.256,0.016,0.196,0.078,0.403,1.68,0.828,,1.882,,11.174,,,,,,,,,,,,,,,,,,,,,,
241,Success,20,18,1,0,23.471,0.01,0.219,0.037,0.469,0.143,0.969,0.276,4.885,0.607,,15.856,,,,,,,,,,,,,,,,,,,,,
242,Success,18,19,2,0,25.075,0.012,0.192,0.034,0.391,0.193,0.939,10.209,1.933,,11.171,,,,,,,,,,,,,,,,,,,,,,
243,Success,18,19,1,1,23.372,0.019,0.201,0.036,0.433,0.142,1.042,3.242,2.111,,16.147,,,,,,,,,,,,,,,,,,,,,,
244,Success,20,20,1,1,53.572,0.006,0.217,0.04,0.406,0.27,0.843,0.631,2.209,1.146,5.847,15.434,26.523,,,,,,,,,,,,,,,,,,,,
245,Success,18,17,0,2,6.994,0.009,0.269,0.046,0.49,0.136,2.804,3.239,,,,,,,,,,,,,,,,,,,,,,,,,
246,Success,17,23,1,1,789.713,0.017,0.214,0.057,0.422,2.754,1.029,,2.07,,9.726,,21.756,,43.57,,119.661,,588.438,,,,,,,,,,,,,,
247,Success,21,20,2,1,100.332,0.012,0.223,0.054,0.445,0.199,0.945,0.384,2.144,0.803,6.818,1.828,36.464,50.012,,,,,,,,,,,,,,,,,,,
248,Success,18,18,1,1,12.228,0.012,0.194,0.021,0.385,0.298,0.803,5.617,4.898,,,,,,,,,,,,,,,,,,,,,,,,
249,Success,20,18,0,4,27.12,0.008,0.191,0.014,0.38,0.199,0.761,0.383,9.718,0.772,,14.696,,,,,,,,,,,,,,,,,,,,,
250,Success,18,18,1,0,10.025,0.015,0.199,0.027,0.402,0.247,1.088,3.323,4.725,,,,,,,,,,,,,,,,,,,,,,,,
251,Success,20,19,0,0,33.742,0.006,0.205,0.073,0.403,0.137,0.803,0.274,1.631,0.56,14.862,14.787,,,,,,,,,,,,,,,,,,,,,
252,Success,18,19,0,3,29.297,0.015,0.186,0.037,0.426,0.185,0.948,3.123,1.861,,22.515,,,,,,,,,,,,,,,,,,,,,,
253,Success,18,18,1,0,9.607,0.019,0.201,0.1,0.395,0.08,0.802,3.274,4.735,,,,,,,,,,,,,,,,,,,,,,,,
254,Success,20,18,0,0,21.064,0.015,0.201,0.02,0.378,0.044,0.828,0.073,4.623,0.171,,14.711,,,,,,,,,,,,,,,,,,,,,
255,Success,18,19,1,1,25.358,0.01,0.204,0.035,0.398,0.063,0.857,5.44,1.97,,16.381,,,,,,,,,,,,,,,,,,,,,,
256,Success,17,19,1,0,21.226,0.026,0.191,0.056,0.418,2.7,0.863,,1.706,,15.266,,,,,,,,,,,,,,,,,,,,,,
257,Success,22,18,0,3,143.674,0.006,0.204,0.021,0.435,0.044,0.868,0.347,13.934,0.905,,1.989,,5.458,,119.465,,,,,,,,,,,,,,,,,
258,Success,18,21,0,0,98.994,0.006,0.191,0.045,0.382,0.376,0.911,3.277,1.802,,5.289,,11.998,,74.718,,,,,,,,,,,,,,,,,,
259,Success,19,17,0,2,11.169,0.008,0.191,0.013,0.448,0.069,3.767,0.158,,6.515,,,,,,,,,,,,,,,,,,,,,,,
260,Success,17,21,1,1,129.438,0.01,0.196,0.038,0.402,1.681,0.825,,2.419,,7.843,,14.235,,101.789,,,,,,,,,,,,,,,,,,
261,Success,18,19,1,1,23.917,0.012,0.205,0.051,0.39,0.095,1.129,3.406,2.274,,16.354,,,,,,,,,,,,,,,,,,,,,,
262,Success,19,18,0,3,21.779,0.021,0.217,0.07,0.424,0.199,0.947,0.599,12.652,6.649,,,,,,,,,,,,,,,,,,,,,,,
263,Success,20,21,3,0,165.572,0.027,0.188,0.118,0.389,0.263,0.811,0.663,1.667,1.345,9.357,53.371,19.774,,77.598,,,,,,,,,,,,,,,,,,
264,Success,21,20,1,1,99.663,0.008,0.272,0.021,0.512,0.094,1.04,0.409,1.98,0.824,7.88,1.848,36.841,47.933,,,,,,,,,,,,,,,,,,,
265,Success,20,17,0,1,20.191,0.008,0.189,0.061,0.533,0.118,3.53,0.312,,0.655,,14.786,,,,,,,,,,,,,,,,,,,,,
266,Success,22,19,1,3,155.89,0.011,0.196,0.02,0.412,0.062,1.059,0.347,2.238,0.701,30.076,1.679,,4.314,,114.773,,,,,,,,,,,,,,,,,
267,Success,20,20,1,2,66.831,0.008,0.195,0.033,0.384,0.062,1.067,0.155,2.141,0.339,10.126,15.46,36.86,,,,,,,,,,,,,,,,,,,,
268,Success,18,18,2,3,20.154,0.002,0.197,0.009,0.44,0.075,0.883,5.925,12.621,,,,,,,,,,,,,,,,,,,,,,,,
269,Success,17,17,1,0,5.915,0.006,0.194,0.087,0.459,2.782,2.386,,,,,,,,,,,,,,,,,,,,,,,,,,
270,Success,17,19,0,3,37.893,0.03,0.187,0.027,0.394,1.548,1.134,,2.243,,32.331,,,,,,,,,,,,,,,,,,,,,,
271,Success,22,23,5,0,1461.17,0.003,0.213,0.025,0.388,0.047,0.851,0.479,1.978,0.887,5.036,2.036,12.569,5.279,42.207,856.624,98.756,,433.792,,,,,,,,,,,,,,
272,Success,20,18,5,1,95.903,0.002,0.204,0.018,0.396,0.068,0.781,0.13,4.927,0.975,,88.401,,,,,,,,,,,,,,,,,,,,,
273,Success,18,19,1,1,25.669,0.04,0.197,0.2,0.399,0.211,0.853,5.482,1.878,,16.408,,,,,,,,,,,,,,,,,,,,,,
274,Success,19,17,2,0,15.912,0.021,0.192,0.037,0.397,0.106,2.369,0.666,,12.124,,,,,,,,,,,,,,,,,,,,,,,
275,Success,20,20,1,2,58.669,0.01,0.203,0.116,0.398,0.226,0.916,0.692,1.962,1.393,6.145,15.826,30.782,,,,,,,,,,,,,,,,,,,,
276,Success,17,19,1,3,25.567,0.004,0.19,0.023,0.39,1.631,0.923,,2.086,,20.32,,,,,,,,,,,,,,,,,,,,,,
277,Success,20,20,3,4,147.715,0.016,0.199,0.037,0.402,0.255,1.172,0.49,2.409,0.999,6.415,60.297,75.025,,,,,,,,,,,,,,,,,,,,
278,Success,20,18,2,1,36.463,0.003,0.195,0.071,0.395,0.132,0.972,0.253,5.072,0.506,,28.864,,,,,,,,,,,,,,,,,,,,,
